"Timestamp","Which season of Orange is the New Black was your favourite?","Who are you most excited to see back?"
"2017/06/09 6:47:50 am CET","Season 2","Nicky"
"2017/06/09 6:48:08 am CET","Season 4","Red"
"2017/06/09 6:48:57 am CET","Season 4","Taystee"
"2017/06/09 6:51:54 am CET","Season 4","Nicky"
"2017/06/09 6:52:05 am CET","Season 2","Morello"
"2017/06/09 6:52:28 am CET","Season 2",""
"2017/06/09 6:52:40 am CET","Season 2","Nicky"
"2017/06/09 6:52:42 am CET","Season 2","Nicky"
"2017/06/09 6:54:21 am CET","Season 2","Taystee"
"2017/06/09 6:54:40 am CET","Season 4","Vause"
"2017/06/09 6:55:13 am CET","Season 2","Taystee"
"2017/06/09 6:57:34 am CET","Season 2","Daya Diaz"
"2017/06/09 7:02:25 am CET","Season 1","Morello"
"2017/06/09 7:03:36 am CET","Season 4","Taystee"
"2017/06/09 7:06:33 am CET","Season 4",""
"2017/06/09 7:07:43 am CET","Season 3","Nicky"
"2017/06/09 7:08:15 am CET","Season 2","Red"
"2017/06/09 7:08:56 am CET","Season 2","Crazy Eyes"
"2017/06/09 7:11:18 am CET","Season 3","Taystee"
"2017/06/09 7:11:55 am CET","Season 1","Nicky"
"2017/06/09 7:12:50 am CET","Season 4","Crazy Eyes"
"2017/06/09 7:15:43 am CET","Season 4","Vause"
"2017/06/09 7:16:43 am CET","Season 3","Daya Diaz"
"2017/06/09 7:18:22 am CET","Season 1","Red"
"2017/06/09 7:19:20 am CET","Season 2","Crazy Eyes"
"2017/06/09 7:22:41 am CET","Season 4","Crazy Eyes"
"2017/06/09 7:25:47 am CET","Season 2","Nicky"
"2017/06/09 7:25:53 am CET","Season 4","Taystee"
"2017/06/09 7:27:11 am CET","Season 1","Taystee"
"2017/06/09 7:27:25 am CET","Season 1","Piper"
"2017/06/09 7:29:50 am CET","Season 4","Nicky"
"2017/06/09 7:29:54 am CET","Season 2","Crazy Eyes"
"2017/06/09 7:33:49 am CET","Season 1","Taystee"
"2017/06/09 7:34:12 am CET","Season 3","Taystee"
"2017/06/09 7:36:29 am CET","Season 1","Crazy Eyes"
"2017/06/09 7:38:04 am CET","Season 4","Vause"
"2017/06/09 7:39:07 am CET","Season 2","Taystee"
"2017/06/09 7:40:14 am CET","Season 2","Red"
"2017/06/09 7:40:53 am CET","Season 4","Vause"
"2017/06/09 7:41:11 am CET","Season 4","Red"
"2017/06/09 7:42:13 am CET","Season 4","Burset"
"2017/06/09 7:44:55 am CET","Season 1","Daya Diaz"
"2017/06/09 7:48:37 am CET","Season 3","Nicky"
"2017/06/09 7:51:00 am CET","Season 4","Taystee"
"2017/06/09 7:51:41 am CET","Season 2","Taystee"
"2017/06/09 7:56:06 am CET","Season 4","Piper"
"2017/06/09 7:59:17 am CET","Season 4","Nicky"
"2017/06/09 8:11:19 am CET","Season 4","Piper"
"2017/06/09 8:11:50 am CET","Season 1","Taystee"
"2017/06/09 8:18:58 am CET","Season 3","Taystee"
"2017/06/09 8:25:20 am CET","Season 1","Red"
"2017/06/09 8:28:08 am CET","Season 4","Taystee"
"2017/06/09 8:38:59 am CET","Season 1","Vause"
"2017/06/09 8:46:05 am CET","Season 1","Taystee"
